Name,City,2017,2018,2019,2020,2021,2022
Any Other Ontario Secondary School,ONTARIO,16.3,16.1,16.0,15.9,14.8,14.4
A N Myer Secondary School,NIAGARA FALLS,,,,,,18.2
A Y Jackson Secondary School,NORTH YORK,12.5,12.1,10.9,10.5,9.4,9.3
Agincourt Collegiate Institute,AGINCOURT,10.7,10.9,10.2,10.1,10.0,9.0
All Saints Catholic High School,KANATA,10.5,,,,,
Ancaster High School,ANCASTER,,21.2,20.7,22.0,21.0,21.4
Bell High School,NEPEAN,10.8,11.4,10.7,11.1,11.1,10.7
Bill Crothers Secondary School,UNIONVILLE,,,,,,10.2
Bishop Macdonell Catholic High School,GUELPH,,22.6,23.3,23.5,,
Bishop Tonnos Catholic Secondary School,ANCASTER,21.1,,,,,
Bluevale Collegiate Institute,WATERLOO,,,18.7,,,16.6
Bur Oak Secondary School,MARKHAM,,,12.3,12.2,11.3,9.8
Cameron Heights Collegiate Institute,KITCHENER,,,,17.9,16.6,17.0
Centennial Collegiate Vocational Institute,GUELPH,,12.3,12.5,12.5,,
Chinguacousy Secondary School,BRAMPTON,,,,,18.8,17.8
Colonel By Secondary School,GLOUCESTER,11.0,12.3,12.9,12.5,,12.1
Columbia International College of Canada,HAMILTON,,,,,,11.7
Crescent School,WILLOWDALE,,,,,11.9,11.0
Danforth Collegiate and Technical Institute,TORONTO,,,,,10.7,10.1
Don Mills Collegiate Institute,DON MILLS,10.3,9.9,10.1,11.4,10.5,9.9
Dr Norman Bethune Collegiate Institute,AGINCOURT,10.0,11.0,11.7,13.9,12.8,
E S Sainte Famille,MISSISSAUGA,,,,,18.8,
Earl Haig Secondary School,WILLOWDALE,,,,,12.2,
Earl of March Secondary School,KANATA,,10.5,9.3,10.9,11.5,10.0
Eastwood Collegiate Institute,KITCHENER,21.9,21.9,,,,
Elmira District Secondary School,ELMIRA,10.4,12.1,,,,
Father Michael McGivney Catholic Academy,MARKHAM,,,21.6,21.9,20.1,18.6
Forest Heights Collegiate Institute,KITCHENER,13.5,,,,,
Galt Collegiate Institute,CAMBRIDGE,21.9,21.0,21.1,20.5,20.3,
George S Henry Academy,NORTH YORK,23.0,21.5,,,,
Glenforest Secondary School,MISSISSAUGA,,,,,,16.7
Governor Simcoe Secondary School,ST CATHARINES,,19.8,,,,
Grand River Collegiate Institute,KITCHENER,,,,,17.6,16.9
Great Lakes College of Toronto,TORONTO,25.0,25.3,22.8,,,
Grimsby Secondary School,GRIMSBY,27.2,27.1,23.6,,,
Guelph Collegiate Vocational Institute,GUELPH,10.6,,,,,18.5
Hamilton District Christian High School,ANCASTER,13.1,12.8,12.3,,,
Harbord College Institute,TORONTO,,,,,,18.7
Huron Heights Secondary School,KITCHENER,,,,,,11.6
Jarvis Collegiate Institute,TORONTO,21.3,22.2,23.1,,,
John F Ross Collegiate Vocational Institute,GUELPH,,,,11.6,11.3,11.7
John Fraser Secondary School,MISSISSAUGA,,,,,,10.8
King's Christian Collegiate,OAKVILLE,22.3,23.0,22.3,23.2,22.3,21.0
L'Amoreaux Collegiate Institute,AGINCOURT,10.6,9.1,7.9,,,
Lawrence Park Collegiate Institute,TORONTO,10.8,10.0,,12.2,11.9,11.6
Lester B Pearson Collegiate Institute,SCARBOROUGH,19.5,,19.0,,,
Lisgar Collegiate Institute,OTTAWA,12.8,,,,,
London Central Secondary School,LONDON,,11.5,9.7,10.5,9.9,9.3
Marc Garneau Collegiate Institute,DON MILLS,,12.8,12.3,12.7,11.4,10.3
Markham District High School,MARKHAM,13.7,,,,,
Markville Secondary School,MARKHAM,,13.0,12.4,12.5,12.5,11.0
Martingrove Collegiate Institute,ETOBICOKE,11.9,13.1,12.1,12.2,10.3,10.1
Milliken Mills High School,UNIONVILLE,11.5,11.3,11.2,9.9,9.2,
Milton District High School,MILTON,,,,10.8,,8.4
Mississauga Secondary School,MISSISSAUGA,,,,,,18.1
Nepean High School,OTTAWA,10.9,9.9,10.1,9.2,9.2,8.8
Niagara Christian Collegiate,FORT ERIE,,,,,,20.6
North Albion Collegiate Institute,ETOBICOKE,21.2,21.4,22.3,22.7,,
North Park Secondary School,BRAMPTON,19.6,,,,,
Northern Secondary School,TORONTO,,13.4,,13.1,11.1,9.9
Northview Heights Secondary School,NORTH YORK,9.4,10.3,,,,
Notre Dame Roman Catholic Secondary School,BURLINGTON,,,,,18,17.3
Notre Dame Secondary School,BRAMPTON,21.8,21.2,,,,
Oakridge Secondary School,LONDON,,,11.0,11.0,,
Orchard Park Secondary School,STONEY CREEK,,,,20.6,18.3,18.3
Our Lady of Mount Carmel,MISSISSAUGA,,,,,17.4,17.5
Pickering High School,AJAX,12.3,12.7,13.4,,,
Pierre Elliott Trudeau High School,MARKHAM,10.7,11.0,11.3,11.6,11.2,11.4
Port Credit Secondary School,MISSISSAUGA,,,12.1,11.4,10.7,11.0
Preston High School,CAMBRIDGE,,,22.7,22.3,20.8,20.0
Richmond Green Secondary School,RICHMOND HILL,,,,,,9.9
Richmond Hill High School,RICHMOND HILL,12.3,11.8,12.6,13.1,12.4,11.8
Rick Hansen Secondary School,MISSISSAUGA,,,14.1,14.0,,11.5
Riverdale Collegiate Institute,TORONTO,,,,,11,
Robert Bateman High School,BURLINGTON,20.5,20.8,19.4,,,
Senator O'Connor College School,TORONTO,,,,23.0,19.9,17.9
Silverthorn Collegiate Institute,ETOBICOKE,,20.0,,,,
Sinclair Secondary School,WHITBY,12.8,,,,,
Sir John A Macdonald Collegiate Institute,AGINCOURT,10.9,10.7,11.6,12.0,11.7,11.4
Sir Robert Borden High School,NEPEAN,,,12.8,,,
Sir Wilfrid Laurier Collegiate Institute,SCARBOROUGH,20.9,20.1,,20.3,,
Sir Winston Churchill Secondary School,ST CATHARINES,23.9,19.9,20.4,,,
Southern Ontario Collegiate,HAMILTON,25.9,25.9,,,,
St Aloysius Gonzaga Secondary School,MISSISSAUGA,,12.8,13.2,,,
St David Catholic Secondary School,WATERLOO,21.8,20.4,19.3,19.9,18.6,19.1
St Francis Xavier Secondary School,MISSISSAUGA,,,14.1,14.2,,
St Michael High School,NIAGARA FALLS,23.7,,,,,
St Peter Catholic Secondary School,PETERBOROUGH,24.0,22.9,20.4,19.8,,
St Peter's Catholic Secondary School,BARRIE,,,,,,19
St Theresa Lisieux Catholic High School,RICHMOND HILL,13.2,13.0,12.9,13.0,11.5,12.0
St Thomas Aquinas Catholic Secondary School,OAKVILLE,26.0,24.7,23.7,23.3,19.8,18.2
Stephen Lewis Secondary School,MISSISSAUGA,11.7,12.4,12.9,,,8.1
Streetsville Secondary School,STREETSVILLE,12.0,,11.1,,,
Tanenbaum Chat Wallenberg Campus,DOWNSVIEW,,,,,,10.1
The Country Day School,KING CITY,,,,,,18.4
Thornhill Secondary School,THORNHILL,13.2,12.0,12.3,11.8,11.6,11.2
Turner Fenton Secondary School,BRAMPTON,19.4,18.2,19.0,18.6,18.2,17.2
Unionville High School,UNIONVILLE,13.2,13.0,12.3,11.3,10.8,10.2
Upper Canada College,TORONTO,,,,,,19.4
Ursula Franklin Academy,TORONTO,,,10.2,,,9.8
Vaughan Secondary School,THORNHILL,,,,,12.2,
Victoria Park Collegiate Institute,DON MILLS,,,,13.8,,
Vincent Massey Secondary School,WINDSOR,11.3,,,,,
Waterloo Collegiate Institute,WATERLOO,,,14.2,13.9,,
Westdale Secondary School,HAMILTON,,,,,18.7,18.6
Westlane Secondary School,NIAGARA FALLS,,,25.4,25.2,,
Westmount Secondary School,HAMILTON,,,,,,16.7
William Lyon Mackenzie Collegiate Institute,NORTH YORK,,13.6,12.4,12.5,12.0,11.5
Woburn Collegiate Institute,SCARBOROUGH,,,,13.2,,
Woodland Christian High School,BRESLAU,,19.8,20.3,19.8,20.5,18.7
York Memorial Collegiate Institute,TORONTO,,11.1,10.9,,,
York Mills Collegiate Institute,DON MILLS,12.3,13.2,13.7,13.9,,
